rep	classifier	thisgene	distance	adm_time	adm_amount	sel_time	m2_s	m2freq_p1	m2freq_p3	start	end	num_alleles	meanp1	Dstat	fD	Het	divratioavg	Q_10_100_q95	Q_10_100_q90	Q_10_100_max	Q_1_100_q95	Q_1_100_q90	Q_1_100_max	U_10_0_100	U_10_20_100	U_10_50_100	U_10_80_100	U_1_0_100	U_1_20_100	U_1_50_100	U_1_80_100	p1_S	p2_S	p3_S	thetaW1	thetaW2	thetaW3	thetapi1	thetapi2	thetapi3	thetaH1	thetaH2	thetaH3	p1_H1	p1_H2	p1_H12	p1_H2H1	p2_H1	p2_H2	p2_H12	p2_H2H1	p3_H1	p3_H2	p3_H12	p3_H2H1	Zns1	Zns2	Zns3	
0	0	seg1	2718689.5	8730	0.02	48	0.0563668	1.0	0.79	1	50000	32	0.1299482148886286	nan	0.0	1.1432228644572893e-05	0.2941754385964909	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	22	10	0.0	3.745936330718118	1.7026983321445992	0.0	1.0432663316582915	0.5744723618090454	0.0	0.07231155778894473	0.06874371859296483	1	0	1	0	0.2993499999999999	0.023724999999999885	0.3990999999999999	0.07925505261399664	0.5865000000000002	0.024000000000000243	0.8040000000000003	0.04092071611253237	Nan	0.011640471346460332	0.019839381132528595	
0	0	seg1	2708689.5	8730	0.02	48	0.0563668	1.0	0.79	10001	60000	29	0.1299482148886286	nan	0.0	1.4833296665933319e-05	1.0508108108108107	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	20	10	0.0	3.4053966642891984	1.7026983321445992	0.0	1.2461809045226129	0.7453768844221106	0.0	0.17090452261306532	1.6968341708542714	1	0	1	0	0.23734999999999995	0.03932499999999994	0.37529999999999997	0.1656835896355591	0.463	0.03397499999999998	0.65295	0.07338012958963278	Nan	0.011111683461784344	0.020676238600055106	
0	0	seg1	2698689.5	8730	0.02	48	0.0563668	1.0	0.79	20001	70000	30	0.1299482148886286	nan	0.0	1.5623312466249326e-05	1.0791822429906541	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	20	11	0.0	3.4053966642891984	1.872968165359059	0.0	1.1778894472361803	0.7850753768844222	0.0	0.16884422110552763	1.6973366834170853	1	0	1	0	0.25775	0.04152499999999995	0.40654999999999997	0.16110572259941786	0.44744999999999996	0.031424999999999925	0.6215999999999999	0.07023131076097872	Nan	0.00656354917229331	0.01798307147221726	
0	0	seg1	2688689.5	8730	0.02	48	0.0563668	1.0	0.79	30001	80000	29	0.1299482148886286	nan	0.0	7.359147182943659e-06	0.9192934782608696	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	17	12	0.0	2.8945871646458183	2.043237998573519	0.0	0.9230150753768847	0.3697989949748744	0.0	0.14231155778894472	1.6302010050251257	1	0	1	0	0.34179999999999994	0.05019999999999991	0.5578	0.1468695143358687	0.6590500000000002	0.011025000000000174	0.8200500000000003	0.016728624535316244	Nan	0.004726630178829648	0.00022357969267941026	
0	0	seg1	2678689.5	8730	0.02	48	0.0563668	1.0	0.79	40001	90000	30	0.1299482148886286	nan	0.0	1.6899337986759737e-05	1.5759221311474925	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	17	12	0.5454545454545455	2.8945871646458183	2.043237998573519	0.5	1.2308040201005026	0.8491959798994976	1.5	0.40738693467336684	2.216130653266332	0.625	0.0625	1.0	0.1	0.20849999999999996	0.09289999999999994	0.3853	0.44556354916067126	0.36615	0.10604999999999998	0.68235	0.28963539532978283	Nan	0.003140669015445765	0.004227655134435739	
0	0	seg1	2668689.5	8730	0.02	48	0.0563668	1.0	0.79	50001	100000	31	0.1299482148886286	nan	0.0	2.4882497649952998e-05	1.9310271041369693	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	15	15	0.5454545454545455	2.5540474982168986	2.5540474982168986	0.5	1.008391959798995	1.2503517587939699	1.5	0.32829145728643216	2.327537688442211	0.625	0.0625	1.0	0.1	0.31404999999999994	0.06902499999999995	0.5367999999999999	0.21978984238178623	0.3120999999999999	0.06707499999999988	0.5348499999999998	0.21491509131688533	Nan	0.004607986979157248	0.007654604640708166	
0	0	seg1	2658689.5	8730	0.02	48	0.0563668	1.0	0.79	60001	110000	33	0.1299482148886286	nan	0.0	2.1861437228744576e-05	1.1565921595597124	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	17	14	0.5454545454545455	2.8945871646458183	2.3837776650024387	0.5	1.2714572864321607	1.0985427135678392	1.5	0.3566834170854271	0.7004522613065327	0.625	0.0625	1.0	0.1	0.21474999999999994	0.08152499999999996	0.37899999999999995	0.37962747380675194	0.3285499999999999	0.0785499999999999	0.5485499999999999	0.23908080961801834	Nan	0.007352964587294838	0.010688571046511379	
0	0	seg1	2648689.5	8730	0.02	48	0.0563668	1.0	0.79	70001	120000	29	0.1299482148886286	nan	0.0	2.45094901898038e-05	1.1774367305060396	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	15	12	0.5454545454545455	2.5540474982168986	2.043237998573519	0.5	1.4888442211055275	1.2316080402010052	1.5	0.3805025125628141	0.7281909547738693	0.625	0.0625	1.0	0.1	0.20834999999999995	0.08932499999999997	0.37739999999999996	0.42872570194384446	0.32144999999999996	0.06134999999999996	0.51525	0.19085394307046186	Nan	0.02584213291253663	0.01827297158271246	
0	0	seg1	2638689.5	8730	0.02	48	0.0563668	1.0	0.79	80001	130000	27	0.1299482148886286	nan	0.0	2.391447828956579e-05	1.174299450549327	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	1	15	10	0.5454545454545455	2.5540474982168986	1.7026983321445992	0.5	1.489145728643216	1.2017085427135679	1.5	0.3802010050251256	0.7279396984924623	0.625	0.0625	1.0	0.1	0.21164999999999998	0.08204999999999998	0.37725	0.3876683203401842	0.32875	0.063525	0.52445	0.1932319391634981	Nan	0.025990342761061352	0.023992100629854345	
0	0	seg1	2628689.5	8730	0.02	48	0.0563668	1.0	0.79	90001	140000	26	0.1299482148886286	nan	0.0	1.4175283505670113e-05	0.3580163043478261	nan	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	16	9	0.0	2.7243173314313585	1.532428498930139	0.0	1.1231658291457287	0.7123115577889447	0.0	0.0929145728643216	0.14195979899497488	1	0	1	0	0.32265	0.031049999999999967	0.44685	0.09623430962343087	0.5175000000000001	0.027500000000000135	0.6855	0.053140096618357745	Nan	0.025180111586482142	0.013672916635758363	
